,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
402,ROOFTOP,"124 Ludlow St, New York, NY 10002, USA",ChIJXfMiMYFZwokRBJWaHG9RDAs,"124 LUDLOW STREET, Lower East Side, Manhattan, NY, USA",40.7196523,-73.9884113,1,10002,OK,street_address
403,ROOFTOP,"149 Ludlow St, New York, NY 10002, USA",ChIJ9SyEUIFZwokRxLrLr-D_y-8,"149 LUDLOW ST, 2R, Lower East Side, Manhattan, NY, USA",40.7208024,-73.9881738,2,10002,OK,premise
404,ROOFTOP,"245 Eldridge St, New York, NY 10002, USA",ChIJuxzGbIRZwokRuc_83yMAnzU,"245 ELDRIDGE STREET, Lower East Side, Manhattan, NY, USA",40.7227817,-73.98991269999999,1,10002,OK,premise
405,ROOFTOP,"187 Chrystie St, New York, NY 10002, USA",ChIJ9fmgeIZZwokRfMYL3CI3xDc,"187 CHRYSTIE STREET, Lower East Side, Manhattan, NY, USA",40.7218009,-73.99225419999999,1,10002,OK,premise
406,ROOFTOP,"87 Hester St, New York, NY 10002, USA",ChIJeUu10ylawokRWjmCSwIvPbw,"87 HESTER STREET, Lower East Side, Manhattan, NY, USA",40.7163139,-73.991547,1,10002,OK,street_address
407,ROOFTOP,"303 E Houston St, New York, NY 10002, USA",ChIJ7U9HBYJZwokRyNo-fmD_pJI,"303 EAST HOUSTON STREET, Lower East Side, Manhattan, NY, USA",40.721162,-73.9836873,1,10002,OK,premise
408,ROOFTOP,"48 Clinton St, New York, NY 10002, USA",ChIJA0kt64FZwokR_aBodtCf15c,"48 CLINTON STREET, Lower East Side, Manhattan, NY, USA",40.719669,-73.98447,1,10002,OK,street_address
409,ROOFTOP,"145 Bowery, New York, NY 10002, USA",ChIJcUmC0IdZwokRaUXu2swO7zg,"145 BOWERY, Lower East Side, Manhattan, NY, USA",40.71902000000001,-73.994235,1,10002,OK,street_address
410,ROOFTOP,"151 Bowery, New York, NY 10002, USA",ChIJCeSx0YdZwokRfoG7gFm2594,"151 BOWERY, Lower East Side, Manhattan, NY, USA",40.719187,-73.9942452,1,10002,OK,street_address
411,ROOFTOP,"8 Manhattan Ave, New York, NY 10025, USA",ChIJDW7tFyH2wokRL00tCE0BvSU,"8 MANHATTAN AVENUE, Manhattan Valley, Manhattan, NY, USA",40.7949782,-73.96378729999999,1,10025,OK,premise
